Tweet,Traduzido,Sentiment
pressionem queremos a reforma da previdencia de paulo guedes sem desidratacao queremos previdencia de trilhao,press we want the reform of paulo guedess social security without dehydration we want to prevent track,0.03333333333333333
eptv parabens pela imparcialidade mostrando o protesto contra a reforma da previdencia porem nao mostrou nada sobre as manifestacoes de domingo passado contra o stf e a favor da lava jato eptv puxadinho da globo midia lixo globoesgotodatv,eptv congratulations for impartiality showing the protest against the reform of social security but showed nothing about last sundays manifestations against the stf and in favor of lava jato eptv pulleda of globo midia globes globesgotodatv,0.016666666666666666
deppaulinho tu e um canalha indo contra a reforma da previdencia so para nao releger bolsonaro o povo que se foda,depaulinho you and a scoundrel against the reform of social security only so as not to remembered bolsonaro the people who fuck,-0.12222222222222223
em mais um golpe do centrao aquela grande frente contra o brasil um projeto de reforma da previdencia alternativo e apresentado rodrigo maia subscreve a sacanagem,in another scam of the center of that great front against brazil a project of reform of the alternative social security and presented rodrigo maia subscribes to the slutty,0.24444444444444446
eles acham que o objetivo e so lula livre e cagam pro objetivo da educacao tanto que tive que ir escondida dos meus pais pra eles n encherem meu saco pq eu tava la pela educacao e nao pelo lula igual ngc da reforma da previdencia que enfiaram la tbm sendo que era pra ser so,they think the goal is to be free and shit for the goal of education so much that i had to go hidden from my parents to them not to fill my bag because i was there for education and not by the same lula ngc of the social security reform that stuck it as it was to be so,0.04444444444444445
eu tambem apoio a reforma da previdencia pelo futuro de nossos filhos euapoionovaprevidencia,i also support the reform of social security for the future of our children usapoionovaparvidencia,0.016666666666666666
vote a mp acelere a reforma da previdencia do paulo guedes e vote o pacote anticrime do moro nao seja um irresponsavel querendo protagonismo enquanto o brasil esta parado por sua incompetencia e ma intencao allan frutuozo deusbrasilbolsonaro carlosbolsonaro,vote the mp accelerate the renovation of paulo guedess social security and vote for moros anti criminal package is not irresponsible wanting protagonism while brazil is stopped for its incompetence and maran integrationozozozolbolbolishobolsonaro,-0.18333333333333335
gostei bastante por um lado ponderada sensata sincera e respeitosa por outro extremamente preocupante do ponto de vista da falta de articulacao do planalto com o congresso evidenciou que o governo esta mt longe dos votos necessarios pra aprovar a reforma da previdencia,i really liked it for a sincere and respectful thoughtful and respectful wisdom side by the other extremely worrying from the point of view of the lack of articulation of the plateau with congress showed that the government is far from the votes necessary to approve the reform of social security,0.23833333333333334
novaprevidencia reformadaprevidencia nova previdencia aprovadaaaaaaaa a vitoria e do brasil viva o nosso presidente jairbolsonaro,novaprevidencia reformed preview new previval approvedaaaaaaaaa to vitoria and brazil live our president jairbolsonaro,0.13636363636363635
senadofederal o atraso do brasil bolsonaroestamoscontigo senado segura reforma da previdencia e trava economia do pais,senadofederal the letting of brazil bolsonaro estade senate safe safe refordence of prevention and country cover,0.5
parabens sabese da tua responsabilidade com a necessaria e urgente reforma da previdencia p q o br alinhese ao rumo do desenvolvimento e progresso p as presentes e futuras geracoes sem o vies de interesses eleitoreiros,congratulations to know your responsibility with the necessary and urgent reform of the social security for the briefness to the direction of development and progress for the present and future generations without the vies of electoral interests,0.008333333333333333
acompanhar essa transmissao globolixo do caralho e voce davialcolumbre devia ter vergonha e votar logo a reforma da previdencia em vez de bajular que esta assim como voce atuando contra o progresso da nacao absurdo,accompany this globolixo fucking transmission and you davialcolumbre should be ashamed and vote soon the pension reform instead of flattering that is as you act against the progress of the absurd nation,-0.55
queremos a aprovacao da reforma da previdencia reformavotesim,we want to approve the reform reformvotesim reform,0.0
quando o assunto e guerra cultural e lacracao estao todos aqui para defender a reforma da previdencia somem por que sera,when the subject and cultural war and core are all here to defend the reform of the social security,-0.011111111111111106
sua ridicula e vontade do povo a reforma da previdencia voces como representantes do povo tem que aprovar essa reforma o mais rapido possivel,your ridiculous and will of the people the reform of the preventatives of the people has to approve this reform as fast as possible,-0.04444444444444443
eu tenho certeza que ja sabem de tudo estarao esperando o momento certo sera que tem a ver com alguma personalidade estrangeira em conluio com a esquerda do brasil sentada aguardando mais importante e passar a reforma da previdencia,im sure they already know everything will be waiting for the right time to do with some foreign personality in collusion with the left of brazil sitting awaiting more important and pass the social security reform,0.22772108843537414
to pensando aqui sobre a necessaria reforma da previdencia e percebo claramente que os pobres nao serao privilegiados coisa nenhuma nem vou citar aqui os pontos que andei lendo e que nao irao beneficiar em,im thinking here about the necessary reform of social security and i clearly realize that the poor will not be privileged or i will mention here the points i have been reading and that will not benefit in,-0.06666666666666667
